Product Name,Brand,Price,Picture,Description,THC content,CBD content,Flower type,Category
STIIIZY: BIIIG BLACK BATTERY,STIIIZY,$35   ,https://tymber-blaze-products.imgix.net/3cb0130a-5ff3-4dcd-8bbf-2168057df94d.jpg?auto=format&ixlib=react-9.8.1&h=300,"BIIIG STIIIIZY Battery|USB Charging Cable|550mAh Rechargeable Battery|USB Charging Port|Voltage: 3.4+\-0.1V|*Pods sold separately ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",,,,"Batteries, Just In!"
RAW GARDEN: VARIABLE VOLTAGE BATTERY,RAW GARDEN,$20   0.0 grams,https://tymber-blaze-products.imgix.net/raw-garden-Variable-Voltage-Battery_5000x-Large-fc8ec07c-a58a-4b56-b416-4155ddea3395.jpeg?auto=format&ixlib=react-9.8.1&h=300,"Welcome to Wheelhouse marijuana dispensary located in Port Hueneme, California. Wheelhouse is not your average cannabis store, having been awarded in Ventura County four years in a row by the VC Reporter! Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",,,,"Batteries, New, Just In!"
BIC LIGHTERS,Wheelhouse,$2.50   ,https://tymber-blaze-products.imgix.net/0f0a1a09-6fdf-43c8-9b08-da172aa73137.jpg?auto=format&ixlib=react-9.8.1&h=300,"Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",,,,Accessories
GLASS: SMALL ROUND RECYCLER BONG,,$35   ,https://tymber-blaze-products.imgix.net/8807_source_1612465585-bf12b0f7-1bf3-42ce-a479-2270fd18b35a.jpg?auto=format&ixlib=react-9.8.1&h=300,,,,,Accessories
GLASS: SMALL BEAKER BONG,,$25   ,https://tymber-blaze-products.imgix.net/7-inch-beaker-f85883fe-d905-4742-9e66-684067712020.jpg?auto=format&ixlib=react-9.8.1&h=300,,,,,Accessories
GLASS: MINI SLIM RECYCLER BUBBLER,,$35   ,https://tymber-blaze-products.imgix.net/Screenshot-2024-01-11-at-10-57-47-AM-57aab39a-2e8a-442e-85e4-2a1f18737ce4.png?auto=format&ixlib=react-9.8.1&h=300,,,,,Accessories
GLASS: MINI RECYCLER BONG (ASSORTED SOLID COLORS),,$35   ,https://tymber-blaze-products.imgix.net/purchase-mini-glass-recycler-dab-rig-with-showerhead-perc-online-usa-91179672-928b-468a-9d2c-0ae7b25b3289.jpg?auto=format&ixlib=react-9.8.1&h=300,,,,,Accessories
GLASS: MINI ICE CATCHER BONG,,$25   ,https://tymber-blaze-products.imgix.net/Screenshot-2024-01-10-at-6-55-31-PM-fb5e3e8c-d0bd-48ae-a8e7-32a8c1c12a55.png?auto=format&ixlib=react-9.8.1&h=300,,,,,Accessories
GLASS: MINI BEAKER BONG W/ ANGLED NECK,,$25   ,https://tymber-blaze-products.imgix.net/Bent-Neck-Beaker-15cd5b71-8adf-4ff7-a98b-9b3cf9e56935.png?auto=format&ixlib=react-9.8.1&h=300,,,,,Accessories
GLASS: LARGE ICE CATCHER BONG,Glass House,$95   ,https://tymber-blaze-products.imgix.net/Screenshot-2024-01-10-at-6-55-31-PM-36777a45-e65e-491e-9771-d05625a3cebe.png?auto=format&ixlib=react-9.8.1&h=300,"Wheelhouse Cannabis Venice Dispensary is the top dispensary in Los Angeles. We have knowledgeable staff and carry the best top shelf cannabis products. |Come check us out. |If you are looking for cannabis near me, you have arrived at the right place.|",,,,Accessories
GLASS: HONEYCOMB TURBINE BONG,,$55   ,https://tymber-blaze-products.imgix.net/Honeycomb-Turbine-Bong-1-671e1b42-48ea-48ed-a831-558be5851400.png?auto=format&ixlib=react-9.8.1&h=300,,,,,Accessories
GLASS: DUAL RECYCLE BONG,,$75   ,https://tymber-blaze-products.imgix.net/Dual-Recycle-Bong-1-4b21dbac-ec43-4789-861b-23107e1887a7.png?auto=format&ixlib=react-9.8.1&h=300,,,,,Accessories
GLASS: ASSORTED BOWLS 14MM,GLASS,$8   ,https://tymber-blaze-products.imgix.net/6854eebd-52b3-41fe-8ac2-5308fe458cf3.jpg?auto=format&ixlib=react-9.8.1&h=300,"Welcome to Wheelhouse marijuana dispensary located in Venice, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed pick-up, and express pick-up if you pay online! Come see what Wheelhouse Cannabis Dispensary is all about!",,,,Accessories
